source_db,title,authors,year,venue,doi,url,abstract,publisher,retrieved_via
Other (via Crossref),EXPLAINABLE REINFORCEMENT LEARNING FOR TRANSPARENT AUTONOMOUS DECISION SYSTEMS,Miruthula G,2026,,10.22541/au.177222571.15877912/v1,https://doi.org/10.22541/au.177222571.15877912/v1,"Reinforcement Learning (RL) enables autonomous agents to learn optimal decision-making methods through their continuous interactions with changing environments. RL-based systems are widely used in fields including robotics and intelligent transportation and smart grid management and healthcare automation and industrial control systems. Most reinforcement learning models operate as black-box systems which identify actions without providing any explanation about their decision-making process. The lack of transparency results in decreased human trust toward autonomous systems while creating security risks and responsibility issues which impact critical autonomous systems. To solve this problem the paper introduces an Explainable Reinforcement Learning XRL system which improves visibility for autonomous decision-making processes. The proposed framework extends standard reinforcement learning systems through its additional explanation generation module which explains system activities by analysing state importance and reward assessment. The system generates understandable explanations for every automated decision by examining state-action value distributions and assessment of policy confidence levels. The system includes attention-based state highlighting and reward decomposition analysis as visual tools to explain decision-making processes. The system uses transparency-aware evaluation metrics to measure three aspects of system performance which are interpretability, explanation consistency, and user trust. The framework operates in a simulated autonomous navigation environment which enables performance testing through comparisons to standard RL implementations. The XRL model provides equivalent reward results to existing solutions yet it boosts interpretability and decision-making understanding without requiring extra computing resources. The results demonstrate that explainability should become a fundamental component of reinforcement learning development to establish dependable and accountable autonomous systems. The proposed approach establishes a connection between advanced learning systems and decision-making methods which humans can comprehend. The research team plans to create two new research paths which involve extending existing frameworks to deep reinforcement learning systems and testing them in safety-critical environments",Wiley,crossref_api
SpringerLink (via Crossref),Explainable reinforcement learning (XRL): a systematic literature review and taxonomy,Yanzhe Bekkemoen,2024,Machine Learning,10.1007/s10994-023-06479-7,https://doi.org/10.1007/s10994-023-06479-7,"Abstract In recent years, reinforcement learning (RL) systems have shown impressive performance and remarkable achievements. Many achievements can be attributed to combining RL with deep learning. However, those systems lack explainability, which refers to our understanding of the system’s decision-making process. In response to this challenge, the new explainable RL (XRL) field has emerged and grown rapidly to help us understand RL systems. This systematic literature review aims to give a unified view of the field by reviewing ten existing XRL literature reviews and 189 XRL studies from the past five years. Furthermore, we seek to organize these studies into a new taxonomy, discuss each area in detail, and draw connections between methods and stakeholder questions (e.g., “how can I get the agent to do _?”). Finally, we look at the research trends in XRL, recommend XRL methods, and present some exciting research directions for future research. We hope stakeholders, such as RL researchers and practitioners, will utilize this literature review as a comprehensive resource to overview existing state-of-the-art XRL methods. Additionally, we strive to help find research gaps and quickly identify methods that answer stakeholder questions.",Springer Science and Business Media LLC,crossref_api
Other (via Crossref),EXPLAINABLE REINFORCEMENT LEARNING FOR TRANSPARENT AUTONOMOUS DECISION SYSTEMS,Miruthula G,2026,,10.22541/au.177222571.15877912/v1,https://doi.org/10.22541/au.177222571.15877912/v1,"Reinforcement Learning (RL) enables autonomous agents to learn optimal decision-making methods through their continuous interactions with changing environments. RL-based systems are widely used in fields including robotics and intelligent transportation and smart grid management and healthcare automation and industrial control systems. Most reinforcement learning models operate as black-box systems which identify actions without providing any explanation about their decision-making process. The lack of transparency results in decreased human trust toward autonomous systems while creating security risks and responsibility issues which impact critical autonomous systems. To solve this problem the paper introduces an Explainable Reinforcement Learning XRL system which improves visibility for autonomous decision-making processes. The proposed framework extends standard reinforcement learning systems through its additional explanation generation module which explains system activities by analysing state importance and reward assessment. The system generates understandable explanations for every automated decision by examining state-action value distributions and assessment of policy confidence levels. The system includes attention-based state highlighting and reward decomposition analysis as visual tools to explain decision-making processes. The system uses transparency-aware evaluation metrics to measure three aspects of system performance which are interpretability, explanation consistency, and user trust. The framework operates in a simulated autonomous navigation environment which enables performance testing through comparisons to standard RL implementations. The XRL model provides equivalent reward results to existing solutions yet it boosts interpretability and decision-making understanding without requiring extra computing resources. The results demonstrate that explainability should become a fundamental component of reinforcement learning development to establish dependable and accountable autonomous systems. The proposed approach establishes a connection between advanced learning systems and decision-making methods which humans can comprehend. The research team plans to create two new research paths which involve extending existing frameworks to deep reinforcement learning systems and testing them in safety-critical environments",Wiley,crossref_api
SpringerLink (via Crossref),Explainable reinforcement learning (XRL): a systematic literature review and taxonomy,Yanzhe Bekkemoen,2024,Machine Learning,10.1007/s10994-023-06479-7,https://doi.org/10.1007/s10994-023-06479-7,"Abstract In recent years, reinforcement learning (RL) systems have shown impressive performance and remarkable achievements. Many achievements can be attributed to combining RL with deep learning. However, those systems lack explainability, which refers to our understanding of the system’s decision-making process. In response to this challenge, the new explainable RL (XRL) field has emerged and grown rapidly to help us understand RL systems. This systematic literature review aims to give a unified view of the field by reviewing ten existing XRL literature reviews and 189 XRL studies from the past five years. Furthermore, we seek to organize these studies into a new taxonomy, discuss each area in detail, and draw connections between methods and stakeholder questions (e.g., “how can I get the agent to do _?”). Finally, we look at the research trends in XRL, recommend XRL methods, and present some exciting research directions for future research. We hope stakeholders, such as RL researchers and practitioners, will utilize this literature review as a comprehensive resource to overview existing state-of-the-art XRL methods. Additionally, we strive to help find research gaps and quickly identify methods that answer stakeholder questions.",Springer Science and Business Media LLC,crossref_api
Other (via Crossref),EXPLAINABLE REINFORCEMENT LEARNING FOR TRANSPARENT AUTONOMOUS DECISION SYSTEMS,Miruthula G,2026,,10.22541/au.177222571.15877912/v1,https://doi.org/10.22541/au.177222571.15877912/v1,"Reinforcement Learning (RL) enables autonomous agents to learn optimal decision-making methods through their continuous interactions with changing environments. RL-based systems are widely used in fields including robotics and intelligent transportation and smart grid management and healthcare automation and industrial control systems. Most reinforcement learning models operate as black-box systems which identify actions without providing any explanation about their decision-making process. The lack of transparency results in decreased human trust toward autonomous systems while creating security risks and responsibility issues which impact critical autonomous systems. To solve this problem the paper introduces an Explainable Reinforcement Learning XRL system which improves visibility for autonomous decision-making processes. The proposed framework extends standard reinforcement learning systems through its additional explanation generation module which explains system activities by analysing state importance and reward assessment. The system generates understandable explanations for every automated decision by examining state-action value distributions and assessment of policy confidence levels. The system includes attention-based state highlighting and reward decomposition analysis as visual tools to explain decision-making processes. The system uses transparency-aware evaluation metrics to measure three aspects of system performance which are interpretability, explanation consistency, and user trust. The framework operates in a simulated autonomous navigation environment which enables performance testing through comparisons to standard RL implementations. The XRL model provides equivalent reward results to existing solutions yet it boosts interpretability and decision-making understanding without requiring extra computing resources. The results demonstrate that explainability should become a fundamental component of reinforcement learning development to establish dependable and accountable autonomous systems. The proposed approach establishes a connection between advanced learning systems and decision-making methods which humans can comprehend. The research team plans to create two new research paths which involve extending existing frameworks to deep reinforcement learning systems and testing them in safety-critical environments",Wiley,crossref_api
SpringerLink (via Crossref),Explainable reinforcement learning (XRL): a systematic literature review and taxonomy,Yanzhe Bekkemoen,2024,Machine Learning,10.1007/s10994-023-06479-7,https://doi.org/10.1007/s10994-023-06479-7,"Abstract In recent years, reinforcement learning (RL) systems have shown impressive performance and remarkable achievements. Many achievements can be attributed to combining RL with deep learning. However, those systems lack explainability, which refers to our understanding of the system’s decision-making process. In response to this challenge, the new explainable RL (XRL) field has emerged and grown rapidly to help us understand RL systems. This systematic literature review aims to give a unified view of the field by reviewing ten existing XRL literature reviews and 189 XRL studies from the past five years. Furthermore, we seek to organize these studies into a new taxonomy, discuss each area in detail, and draw connections between methods and stakeholder questions (e.g., “how can I get the agent to do _?”). Finally, we look at the research trends in XRL, recommend XRL methods, and present some exciting research directions for future research. We hope stakeholders, such as RL researchers and practitioners, will utilize this literature review as a comprehensive resource to overview existing state-of-the-art XRL methods. Additionally, we strive to help find research gaps and quickly identify methods that answer stakeholder questions.",Springer Science and Business Media LLC,crossref_api
Other (via Crossref),EXPLAINABLE REINFORCEMENT LEARNING FOR TRANSPARENT AUTONOMOUS DECISION SYSTEMS,Miruthula G,2026,,10.22541/au.177222571.15877912/v1,https://doi.org/10.22541/au.177222571.15877912/v1,"Reinforcement Learning (RL) enables autonomous agents to learn optimal decision-making methods through their continuous interactions with changing environments. RL-based systems are widely used in fields including robotics and intelligent transportation and smart grid management and healthcare automation and industrial control systems. Most reinforcement learning models operate as black-box systems which identify actions without providing any explanation about their decision-making process. The lack of transparency results in decreased human trust toward autonomous systems while creating security risks and responsibility issues which impact critical autonomous systems. To solve this problem the paper introduces an Explainable Reinforcement Learning XRL system which improves visibility for autonomous decision-making processes. The proposed framework extends standard reinforcement learning systems through its additional explanation generation module which explains system activities by analysing state importance and reward assessment. The system generates understandable explanations for every automated decision by examining state-action value distributions and assessment of policy confidence levels. The system includes attention-based state highlighting and reward decomposition analysis as visual tools to explain decision-making processes. The system uses transparency-aware evaluation metrics to measure three aspects of system performance which are interpretability, explanation consistency, and user trust. The framework operates in a simulated autonomous navigation environment which enables performance testing through comparisons to standard RL implementations. The XRL model provides equivalent reward results to existing solutions yet it boosts interpretability and decision-making understanding without requiring extra computing resources. The results demonstrate that explainability should become a fundamental component of reinforcement learning development to establish dependable and accountable autonomous systems. The proposed approach establishes a connection between advanced learning systems and decision-making methods which humans can comprehend. The research team plans to create two new research paths which involve extending existing frameworks to deep reinforcement learning systems and testing them in safety-critical environments",Wiley,crossref_api
Other (via Crossref),EXPLAINABLE REINFORCEMENT LEARNING FOR TRANSPARENT AUTONOMOUS DECISION SYSTEMS,Miruthula G,2026,,10.22541/au.177222571.15877912/v1,https://doi.org/10.22541/au.177222571.15877912/v1,"Reinforcement Learning (RL) enables autonomous agents to learn optimal decision-making methods through their continuous interactions with changing environments. RL-based systems are widely used in fields including robotics and intelligent transportation and smart grid management and healthcare automation and industrial control systems. Most reinforcement learning models operate as black-box systems which identify actions without providing any explanation about their decision-making process. The lack of transparency results in decreased human trust toward autonomous systems while creating security risks and responsibility issues which impact critical autonomous systems. To solve this problem the paper introduces an Explainable Reinforcement Learning XRL system which improves visibility for autonomous decision-making processes. The proposed framework extends standard reinforcement learning systems through its additional explanation generation module which explains system activities by analysing state importance and reward assessment. The system generates understandable explanations for every automated decision by examining state-action value distributions and assessment of policy confidence levels. The system includes attention-based state highlighting and reward decomposition analysis as visual tools to explain decision-making processes. The system uses transparency-aware evaluation metrics to measure three aspects of system performance which are interpretability, explanation consistency, and user trust. The framework operates in a simulated autonomous navigation environment which enables performance testing through comparisons to standard RL implementations. The XRL model provides equivalent reward results to existing solutions yet it boosts interpretability and decision-making understanding without requiring extra computing resources. The results demonstrate that explainability should become a fundamental component of reinforcement learning development to establish dependable and accountable autonomous systems. The proposed approach establishes a connection between advanced learning systems and decision-making methods which humans can comprehend. The research team plans to create two new research paths which involve extending existing frameworks to deep reinforcement learning systems and testing them in safety-critical environments",Wiley,crossref_api
SpringerLink (via Crossref),Explainable reinforcement learning (XRL): a systematic literature review and taxonomy,Yanzhe Bekkemoen,2024,Machine Learning,10.1007/s10994-023-06479-7,https://doi.org/10.1007/s10994-023-06479-7,"Abstract In recent years, reinforcement learning (RL) systems have shown impressive performance and remarkable achievements. Many achievements can be attributed to combining RL with deep learning. However, those systems lack explainability, which refers to our understanding of the system’s decision-making process. In response to this challenge, the new explainable RL (XRL) field has emerged and grown rapidly to help us understand RL systems. This systematic literature review aims to give a unified view of the field by reviewing ten existing XRL literature reviews and 189 XRL studies from the past five years. Furthermore, we seek to organize these studies into a new taxonomy, discuss each area in detail, and draw connections between methods and stakeholder questions (e.g., “how can I get the agent to do _?”). Finally, we look at the research trends in XRL, recommend XRL methods, and present some exciting research directions for future research. We hope stakeholders, such as RL researchers and practitioners, will utilize this literature review as a comprehensive resource to overview existing state-of-the-art XRL methods. Additionally, we strive to help find research gaps and quickly identify methods that answer stakeholder questions.",Springer Science and Business Media LLC,crossref_api
SpringerLink (via Crossref),Explainable reinforcement learning (XRL): a systematic literature review and taxonomy,Yanzhe Bekkemoen,2024,Machine Learning,10.1007/s10994-023-06479-7,https://doi.org/10.1007/s10994-023-06479-7,"Abstract In recent years, reinforcement learning (RL) systems have shown impressive performance and remarkable achievements. Many achievements can be attributed to combining RL with deep learning. However, those systems lack explainability, which refers to our understanding of the system’s decision-making process. In response to this challenge, the new explainable RL (XRL) field has emerged and grown rapidly to help us understand RL systems. This systematic literature review aims to give a unified view of the field by reviewing ten existing XRL literature reviews and 189 XRL studies from the past five years. Furthermore, we seek to organize these studies into a new taxonomy, discuss each area in detail, and draw connections between methods and stakeholder questions (e.g., “how can I get the agent to do _?”). Finally, we look at the research trends in XRL, recommend XRL methods, and present some exciting research directions for future research. We hope stakeholders, such as RL researchers and practitioners, will utilize this literature review as a comprehensive resource to overview existing state-of-the-art XRL methods. Additionally, we strive to help find research gaps and quickly identify methods that answer stakeholder questions.",Springer Science and Business Media LLC,crossref_api
